"F50.00","Anorexia nervosa, restriktiver Typ"
"F50.08","Sonstige und nicht näher bezeichnete Anorexia nervosa"
"G40.1","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit einfachen fokalen Anfällen"
"G40.9","Epilepsie, nicht näher bezeichnet"
"G47.31","Obstruktives Schlafapnoe-Syndrom"
"G58.0","Interkostalneuropathie"
"H71","Cholesteatom des Mittelohres"
"J18.9","Pneumonie, nicht näher bezeichnet"
"J20.9","Akute Bronchitis, nicht näher bezeichnet"
"J34.3","Hypertrophie der Nasenmuscheln"
"J35.3","Hyperplasie der Gaumenmandeln mit Hyperplasie der Rachenmandel"
"J45.0","Vorwiegend allergisches Asthma bronchiale"
"J45.9","Asthma bronchiale, nicht näher bezeichnet"
"K21.0","Gastroösophageale Refluxkrankheit mit Ösophagitis"
"K29.6","Sonstige Gastritis"
"K36","Sonstige Appendizitis"
"K50.88","Sonstige Crohn-Krankheit"
"K62.8","Sonstige näher bezeichnete Krankheiten des Anus und des Rektums"
"M23.51","Chronische Instabilität des Kniegelenkes: Vorderes Kreuzband"
"M41.15","Idiopathische Skoliose beim Jugendlichen: Thorakolumbalbereich"
"N13.2","Hydronephrose bei Obstruktion durch Nieren- und Ureterstein"
"N20.0","Nierenstein"
"N62","Hypertrophie der Mamma [Brustdrüse]"
"N70.0","Akute Salpingitis und Oophoritis"
"O23.4","Nicht näher bezeichnete Infektion der Harnwege in der Schwangerschaft"
"O26.88","Sonstige näher bezeichnete Zustände, die mit der Schwangerschaft verbunden sind"
"O47.1","Frustrane Kontraktionen ab 37 oder mehr vollendeten Schwangerschaftswochen"
"O62.1","Sekundäre Wehenschwäche"
"O99.8","Sonstige näher bezeichnete Krankheiten und Zustände, die Schwangerschaft, Geburt und Wochenbett komplizieren"
"R00.2","Palpitationen"
"R20.2","Parästhesie der Haut"
"S62.32","Fraktur eines sonstigen Mittelhandknochens: Schaft"
"S82.38","Distale Fraktur der Tibia: Sonstige"
"T39.3","Vergiftung: Sonstige nichtsteroidale Antiphlogistika [NSAID]"
"T58","Toxische Wirkung von Kohlenmonoxid"
"Z01.5","Diagnostische Haut- und Sensibilisierungstestung"
"---","Rest (761 Zeilen)"
"E86","Volumenmangel"
"Z03.8","Beobachtung bei sonstigen Verdachtsfällen"
"Z11","Spezielle Verfahren zur Untersuchung auf infektiöse und parasitäre Krankheiten"
"Z29.0","Isolierung als prophylaktische Maßnahme"
"Z37.0","Lebendgeborener Einling"
"B96.2","Escherichia coli [E. coli] und andere Enterobakteriazeen als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"O09.6","Schwangerschaftsdauer: 37. Woche bis 41 vollendete Wochen"
"E87.6","Hypokaliämie"
"Z95.81","Vorhandensein eines operativ implantierten vaskulären Katheterverweilsystems"
"U50.00","Keine oder geringe motorische Funktionseinschränkung: Barthel-Index: 100 Punkte"
"Z76.3","Gesunde Begleitperson einer kranken Person"
"D90","Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen"
"O99.0","Anämie, die Schwangerschaft, Geburt und Wochenbett kompliziert"
"Z45.20","Anpassung und Handhabung eines operativ implantierten vaskulären Katheterverweilsystems"
"Z74.0","Probleme mit Bezug auf: Hilfsbedürftigkeit wegen eingeschränkter Mobilität"
"V99","Transportmittelunfall"
"Z46.7","Versorgen mit und Anpassen eines orthopädischen Hilfsmittels"
"Z35.6","Überwachung einer sehr jungen Erstschwangeren"
"T68","Hypothermie"
"Z48.0","Kontrolle von Verbänden und Nähten"
"T31.00","Verbrennungen von weniger als 10 % der Körperoberfläche: Weniger als 10 % oder nicht näher bezeichneter Anteil von Verbrennungen 3. Grades"
"B95.6","Staphylococcus aureus als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"Z74.1","Probleme mit Bezug auf: Notwendigkeit der Hilfestellung bei der Körperpflege"
"Z91.1","Nichtbefolgung ärztlicher Anordnungen [Non-compliance] in der Eigenanamnese"
"R63.3","Ernährungsprobleme und unsachgemäße Ernährung"
"S06.70","Bewusstlosigkeit bei Schädel-Hirn-Trauma: Weniger als 30 Minuten"
"Z03.3","Beobachtung bei Verdacht auf neurologische Krankheit"
"R52.0","Akuter Schmerz"
"F83","Kombinierte umschriebene Entwicklungsstörungen"
"Z47.0","Entfernung einer Metallplatte oder einer anderen inneren Fixationsvorrichtung"
"R00.0","Tachykardie, nicht näher bezeichnet"
"D50.8","Sonstige Eisenmangelanämien"
"E03.8","Sonstige näher bezeichnete Hypothyreose"
"D62","Akute Blutungsanämie"
"J96.00","Akute respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ I [hypoxisch]"
"O09.4","Schwangerschaftsdauer: 26. Woche bis 33 vollendete Wochen"
"E55.9","Vitamin-D-Mangel, nicht näher bezeichnet"
"E66.04","Adipositas durch übermäßige Kalorienzufuhr: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren"
"R41.2","Retrograde Amnesie"
"R53","Unwohlsein und Ermüdung"
"O09.1","Schwangerschaftsdauer: 5 bis 13 vollendete Wochen"
"Z88.8","Allergie gegenüber sonstigen Arzneimitteln, Drogen oder biologisch aktiven Substanzen in der Eigenanamnese"
"Z99.3","Langzeitige Abhängigkeit vom Rollstuhl"
"E87.1","Hypoosmolalität und Hyponatriämie"
"F12.1","Psychische und Verhaltensstörungen durch Cannabinoide: Schädlicher Gebrauch"
"R06.0","Dyspnoe"
"R13.9","Sonstige und nicht näher bezeichnete Dysphagie"
"Z03.5","Beobachtung bei Verdacht auf sonstige kardiovaskuläre Krankheiten"
"Z50.1","Sonstige Physiotherapie"
"E03.9","Hypothyreose, nicht näher bezeichnet"
"I10.00","Benigne essentielle Hypertonie: Ohne Angabe einer hypertensiven Krise"
"Z88.0","Allergie gegenüber Penicillin in der Eigenanamnese"
"Z98.8","Sonstige näher bezeichnete Zustände nach chirurgischen Eingriffen"
"R15","Stuhlinkontinenz"
"S81.84","Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Unterschenkels"
"F43.2","Anpassungsstörungen"
"F90.0","Einfache Aktivitäts- und Aufmerksamkeitsstörung"
"T81.0","Blutung und Hämatom als Komplikation eines Eingriffes, anderenorts nicht klassifiziert"
"Z04.8","Untersuchung und Beobachtung aus sonstigen näher bezeichneten Gründen"
"Y57.9","Komplikationen durch Arzneimittel oder Drogen"
"E87.2","Azidose"
"F17.1","Psychische und Verhaltensstörungen durch Tabak: Schädlicher Gebrauch"
"F32.9","Depressive Episode, nicht näher bezeichnet"
"F43.0","Akute Belastungsreaktion"
"S01.80","Nicht näher bezeichnete offene Wunde sonstiger Teile des Kopfes"
"U51.00","Keine oder leichte kognitive Funktionseinschränkung: Erweiterter Barthel-Index: 70-90 Punkte"
"R64","Kachexie"
"D61.10","Aplastische Anämie infolge zytostatischer Therapie"
"E66.05","Adipositas durch übermäßige Kalorienzufuhr: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren"
"F10.1","Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch"
"F60.31","Emotional instabile Persönlichkeitsstörung: Borderline-Typ"
"R06.88","Sonstige und nicht näher bezeichnete Störungen der Atmung"
"R50.9","Fieber, nicht näher bezeichnet"
"S30.1","Prellung der Bauchdecke"
"Z92.4","Größerer operativer Eingriff in der Eigenanamnese, anderenorts nicht klassifiziert"
"S01.84","Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Kopfes"
"B96.5","Pseudomonas und andere Nonfermenter als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"O92.50","Hemmung der Laktation: Ohne Angabe von Schwierigkeiten beim Anlegen"
"R50.88","Sonstiges näher bezeichnetes Fieber"
"R63.4","Abnorme Gewichtsabnahme"
"Z29.21","Systemische prophylaktische Chemotherapie"
"Z60","Kontaktanlässe mit Bezug auf die soziale Umgebung"
"Z98.2","Vorhandensein einer Drainage des Liquor cerebrospinalis"
"Z22.3","Keimträger anderer näher bezeichneter bakterieller Krankheiten"
"Y09.9","Tätlicher Angriff"
"S41.84","Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Oberarmes"
"E06.3","Autoimmunthyreoiditis"
"I95.8","Sonstige Hypotonie"
"K66.0","Peritoneale Adhäsionen"
"O09.7","Schwangerschaftsdauer: Mehr als 41 vollendete Wochen"
"R04.0","Epistaxis"
"R07.0","Halsschmerzen"
"R74.0","Erhöhung der Transaminasenwerte und des Laktat-Dehydrogenase-Wertes [LDH]"
"Z04.1","Untersuchung und Beobachtung nach Transportmittelunfall"
"Z23.5","Notwendigkeit der Impfung gegen Tetanus, nicht kombiniert"
"Z29.8","Sonstige näher bezeichnete prophylaktische Maßnahmen"
"Z63","Andere Kontaktanlässe mit Bezug auf den engeren Familienkreis"
"Z92.2","Dauertherapie (gegenwärtig) mit anderen Arzneimitteln in der Eigenanamnese"
"Z93.1","Vorhandensein eines Gastrostomas"
"K21.9","Gastroösophageale Refluxkrankheit ohne Ösophagitis"
"O70.1","Dammriss 2. Grades unter der Geburt"
"R26.3","Immobilität"
"B96.6","Bacteroides fragilis [B. fragilis] und andere gramnegative Anaerobier als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"D69.58","Sonstige sekundäre Thrombozytopenien, nicht als transfusionsrefraktär bezeichnet"
"E10.90","Diabetes mellitus, Typ 1: Ohne Komplikationen: Nicht als entgleist bezeichnet"
"F32.1","Mittelgradige depressive Episode"
"G44.2","Spannungskopfschmerz"
"K92.1","Meläna"
"M24.50","Gelenkkontraktur: Mehrere Lokalisationen"
"R26.8","Sonstige und nicht näher bezeichnete Störungen des Ganges und der Mobilität"
"Z71","Personen, die das Gesundheitswesen zum Zwecke anderer Beratung oder ärztlicher Konsultation in Anspruch nehmen, anderenorts nicht klassifiziert"
"W49.9","Unfall durch Exposition gegenüber mechanischen Kräften unbelebter Objekte"
"B95.48","Sonstige näher bezeichnete Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B95.7","Sonstige Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"J96.01","Akute respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ II [hyperkapnisch]"
"M25.50","Gelenkschmerz: Mehrere Lokalisationen"
"R00.1","Bradykardie, nicht näher bezeichnet"
"R45.8","Sonstige Symptome, die die Stimmung betreffen"
"R63.6","Ungenügende Aufnahme von Nahrung und Flüssigkeit"
"R94.0","Abnorme Ergebnisse von Funktionsprüfungen des Zentralnervensystems"
"S06.79","Bewusstlosigkeit bei Schädel-Hirn-Trauma: Dauer nicht näher bezeichnet"
"Z01.0","Visusprüfung und Untersuchung der Augen"
"Z30.0","Allgemeine Beratung zu Fragen der Kontrazeption"
"I88.0","Unspezifische mesenteriale Lymphadenitis"
"M67.86","Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"O23.5","Infektionen des Genitaltraktes in der Schwangerschaft"
"R32","Nicht näher bezeichnete Harninkontinenz"
"S01.0","Offene Wunde der behaarten Kopfhaut"
"Z91.8","Sonstige näher bezeichnete Risikofaktoren in der Eigenanamnese, anderenorts nicht klassifiziert"
"F12.0","Psychische und Verhaltensstörungen durch Cannabinoide: Akute Intoxikation [akuter Rausch]"
"J35.1","Hyperplasie der Gaumenmandeln"
"J35.2","Hyperplasie der Rachenmandel"
"O09.2","Schwangerschaftsdauer: 14. Woche bis 19 vollendete Wochen"
"Q65.8","Sonstige angeborene Deformitäten der Hüfte"
"R79.8","Sonstige näher bezeichnete abnorme Befunde der Blutchemie"
"S60.2","Prellung sonstiger Teile des Handgelenkes und der Hand"
"S83.2","Meniskusriss, akut"
"U50.10","Leichte motorische Funktionseinschränkung: Barthel-Index: 80-95 Punkte"
"U50.20","Mittlere motorische Funktionseinschränkung: Barthel-Index: 60-75 Punkte"
"Z03.9","Beobachtung bei Verdachtsfall, nicht näher bezeichnet"
"Z13.8","Spezielle Verfahren zur Untersuchung auf sonstige näher bezeichnete Krankheiten oder Störungen"
"Z43.1","Versorgung eines Gastrostomas"
"Z53","Personen, die Einrichtungen des Gesundheitswesens wegen spezifischer Maßnahmen aufgesucht haben, die aber nicht durchgeführt wurden"
"Z72.8","Sonstige Probleme mit Bezug auf die Lebensführung"
"Z73","Probleme mit Bezug auf Schwierigkeiten bei der Lebensbewältigung"
"Z91.0","Allergie, ausgenommen Allergie gegenüber Arzneimitteln, Drogen oder biologisch aktiven Substanzen, in der Eigenanamnese"
"Z92.6","Zytostatische Chemotherapie wegen bösartiger Neubildung in der Eigenanamnese"
"B98.0","Helicobacter pylori [H. pylori] als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"R31","Nicht näher bezeichnete Hämaturie"
"S51.84","Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Unterarmes"
"D50.9","Eisenmangelanämie, nicht näher bezeichnet"
"D64.8","Sonstige näher bezeichnete Anämien"
"E66.99","Adipositas, nicht näher bezeichnet: Grad oder Ausmaß der Adipositas nicht näher bezeichnet"
"F32.2","Schwere depressive Episode ohne psychotische Symptome"
"G80.1","Spastische diplegische Zerebralparese"
"G81.1","Spastische Hemiparese und Hemiplegie"
"I10.90","Essentielle Hypertonie, nicht näher bezeichnet: Ohne Angabe einer hypertensiven Krise"
"J39.2","Sonstige Krankheiten des Rachenraumes"
"K86.8","Sonstige näher bezeichnete Krankheiten des Pankreas"
"N77.1","Vaginitis, Vulvitis oder Vulvovaginitis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"O70.0","Dammriss 1. Grades unter der Geburt"
"O71.8","Sonstige näher bezeichnete Verletzungen unter der Geburt"
"R03.0","Erhöhter Blutdruckwert ohne Diagnose eines Bluthochdrucks"
"R16.1","Splenomegalie, anderenorts nicht klassifiziert"
"R16.2","Hepatomegalie verbunden mit Splenomegalie, anderenorts nicht klassifiziert"
"S00.05","Oberflächliche Verletzung der behaarten Kopfhaut: Prellung"
"S01.51","Offene Wunde: Lippe"
"S05.0","Verletzung der Konjunktiva und Abrasio corneae ohne Angabe eines Fremdkörpers"
"S40.0","Prellung der Schulter und des Oberarmes"
"T81.3","Aufreißen einer Operationswunde, anderenorts nicht klassifiziert"
"T88.7","Nicht näher bezeichnete unerwünschte Nebenwirkung eines Arzneimittels oder einer Droge"
"Z03.4","Beobachtung bei Verdacht auf Herzinfarkt"
"Z13.2","Spezielle Verfahren zur Untersuchung auf Ernährungsstörungen"
"Z86.7","Krankheiten des Kreislaufsystems in der Eigenanamnese"
"Z96.4","Vorhandensein von endokrinen Implantaten"
"G47.0","Ein- und Durchschlafstörungen"
"M25.46","Gelenkerguss: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"S27.31","Prellung und Hämatom der Lunge"
"Z94.81","Zustand nach hämatopoetischer Stammzelltransplantation mit gegenwärtiger Immunsuppression"
"B37.3","Kandidose der Vulva und der Vagina"
"B95.2","Streptokokken, Gruppe D, und Enterokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"C78.0","Sekundäre bösartige Neubildung der Lunge"
"E66.09","Adipositas durch übermäßige Kalorienzufuhr: Grad oder Ausmaß der Adipositas nicht näher bezeichnet"
"E73.9","Laktoseintoleranz, nicht näher bezeichnet"
"F15.1","Psychische und Verhaltensstörungen durch andere Stimulanzien, einschließlich Koffein: Schädlicher Gebrauch"
"G43.0","Migräne ohne Aura [Gewöhnliche Migräne]"
"J96.09","Akute respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ nicht näher bezeichnet"
"K44.9","Hernia diaphragmatica ohne Einklemmung und ohne Gangrän"
"K92.0","Hämatemesis"
"L04.0","Akute Lymphadenitis an Gesicht, Kopf und Hals"
"M23.4","Freier Gelenkkörper im Kniegelenk"
"N17.99","Akutes Nierenversagen, nicht näher bezeichnet: Stadium nicht näher bezeichnet"
"R65.0","Systemisches inflammatorisches Response-Syndrom [SIRS] infektiöser Genese ohne Organkomplikationen"
"R77.88","Sonstige näher bezeichnete Veränderungen der Plasmaproteine"
"R78.0","Nachweis von Alkohol im Blut"
"S00.95","Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet: Prellung"
"Z29.1","Immunprophylaxe"
"Z45.29","Anpassung und Handhabung eines sonstigen und nicht näher bezeichneten vaskulären Zugangs"
"Z51.88","Sonstige näher bezeichnete medizinische Behandlung"
"Z94.4","Zustand nach Lebertransplantation"
"J22","Akute Infektion der unteren Atemwege, nicht näher bezeichnet"
"N94.6","Dysmenorrhoe, nicht näher bezeichnet"
"A49.9","Bakterielle Infektion, nicht näher bezeichnet"
"B95.91","Sonstige näher bezeichnete grampositive anaerobe, nicht sporenbildende Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"C79.5","Sekundäre bösartige Neubildung des Knochens und des Knochenmarkes"
"D69.61","Thrombozytopenie, nicht näher bezeichnet, nicht als transfusionsrefraktär bezeichnet"
"E34.3","Kleinwuchs, anderenorts nicht klassifiziert"
"E66.94","Adipositas, nicht näher bezeichnet: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren"
"E73.8","Sonstige Laktoseintoleranz"
"E74.1","Störungen des Fruktosestoffwechsels"
"E87.0","Hyperosmolalität und Hypernatriämie"
"E88.0","Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert"
"F45.8","Sonstige somatoforme Störungen"
"F54","Psychologische Faktoren oder Verhaltensfaktoren bei anderenorts klassifizierten Krankheiten"
"F79.9","Nicht näher bezeichnete Intelligenzminderung: Ohne Angabe einer Verhaltensstörung"
"F84.5","Asperger-Syndrom"
"F93.8","Sonstige emotionale Störungen des Kindesalters"
"G80.0","Spastische tetraplegische Zerebralparese"
"H53.4","Gesichtsfelddefekte"
"J00","Akute Rhinopharyngitis [Erkältungsschnupfen]"
"J06.8","Sonstige akute Infektionen an mehreren Lokalisationen der oberen Atemwege"
"J96.11","Chronische respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ II [hyperkapnisch]"
"K90.0","Zöliakie"
"L20.9","Atopisches [endogenes] Ekzem, nicht näher bezeichnet"
"L29.8","Sonstiger Pruritus"
"M41.99","Skoliose, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation"
"M65.86","Sonstige Synovitis und Tenosynovitis: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M94.26","Chondromalazie: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"N23","Nicht näher bezeichnete Nierenkolik"
"O09.3","Schwangerschaftsdauer: 20. Woche bis 25 vollendete Wochen"
"O09.5","Schwangerschaftsdauer: 34. Woche bis 36 vollendete Wochen"
"Q90.9","Down-Syndrom, nicht näher bezeichnet"
"R05","Husten"
"R12","Sodbrennen"
"R20.1","Hypästhesie der Haut"
"R40.1","Sopor"
"R45.1","Ruhelosigkeit und Erregung"
"R82.4","Azetonurie"
"S00.1","Prellung des Augenlides und der Periokularregion"
"S00.81","Oberflächliche Verletzung sonstiger Teile des Kopfes: Schürfwunde"
"S02.68","Unterkieferfraktur: Corpus mandibulae, sonstige und nicht näher bezeichnete Teile"
"S61.80","Nicht näher bezeichnete offene Wunde sonstiger Teile des Handgelenkes und der Hand"
"S66.1","Verletzung der Beugemuskeln und -sehnen sonstiger Finger in Höhe des Handgelenkes und der Hand"
"S80.0","Prellung des Knies"
"S80.1","Prellung sonstiger und nicht näher bezeichneter Teile des Unterschenkels"
"S93.2","Traumatische Ruptur von Bändern in Höhe des oberen Sprunggelenkes und des Fußes"
"T70.8","Sonstige Schäden durch Luft- und Wasserdruck"
"W64.9","Unfall durch Exposition gegenüber mechanischen Kräften belebter Objekte"
"X59.9","Sonstiger und nicht näher bezeichneter Unfall"
"Z03.1","Beobachtung bei Verdacht auf bösartige Neubildung"
"Z62","Andere Kontaktanlässe mit Bezug auf die Erziehung"
"Z86.1","Infektiöse oder parasitäre Krankheiten in der Eigenanamnese"
"Z86.5","Andere psychische Krankheiten oder Verhaltensstörungen in der Eigenanamnese"
"Z92.1","Dauertherapie (gegenwärtig) mit Antikoagulanzien in der Eigenanamnese"
"Z92.8","Sonstige medizinische Behandlung in der Eigenanamnese"
"Z94.0","Zustand nach Nierentransplantation"
"Z96.2","Vorhandensein von Implantaten im Gehörorgan"
"Z99.1","Abhängigkeit (langzeitig) vom Respirator"
"S21.84","Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Thorax"
"N76.0","Akute Kolpitis"
"O82","Geburt eines Einlings durch Schnittentbindung [Sectio caesarea]"
"S02.4","Fraktur des Jochbeins und des Oberkiefers"
"G82.49","Spastische Tetraparese und Tetraplegie: Nicht näher bezeichnet"
"T20.21","Verbrennung Grad 2b des Kopfes und des Halses"
"B00.1","Dermatitis vesicularis durch Herpesviren"
"B95.1","Streptokokken, Gruppe B, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B95.90","Sonstige näher bezeichnete grampositive aerobe Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B96.3","Haemophilus und Moraxella als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"D64.9","Anämie, nicht näher bezeichnet"
